operator,family,poly_deg,eps_scale_c,N,eps,nrmse
interpolation,IMQ,2,0.15,100,1.5,0.03298431805945726
interpolation,IMQ,2,0.15,225,2.25,0.0003041815765133853
interpolation,IMQ,2,0.15,400,3.0,9.812302679933502e-6
interpolation,IMQ,2,0.15,900,4.5,1.8142366743011782e-6
interpolation,IMQ,2,0.15,2025,6.75,8.332709955371455e-7
interpolation,IMQ,2,0.15,4900,10.5,2.0725617022693158e-7
interpolation,IMQ,3,0.15,100,1.5,0.033699983781728865
interpolation,IMQ,3,0.15,225,2.25,0.00030511185402208325
interpolation,IMQ,3,0.15,400,3.0,1.4811387716213553e-5
interpolation,IMQ,3,0.15,900,4.5,3.6317477051983802e-6
interpolation,IMQ,3,0.15,2025,6.75,1.0948437030388224e-6
interpolation,IMQ,3,0.15,4900,10.5,2.255291592948556e-7
interpolation,Gaussian,2,0.15,100,1.5,4.952723011964566
interpolation,Gaussian,2,0.15,225,2.25,0.2549097641176109
interpolation,Gaussian,2,0.15,400,3.0,0.004221899031193667
interpolation,Gaussian,2,0.15,900,4.5,9.382793973287833e-5
interpolation,Gaussian,2,0.15,2025,6.75,2.3069990029552315e-8
interpolation,Gaussian,2,0.15,4900,10.5,1.3663561529322035e-7
interpolation,Gaussian,3,0.15,100,1.5,0.4609412662872023
interpolation,Gaussian,3,0.15,225,2.25,0.0382651158945642
interpolation,Gaussian,3,0.15,400,3.0,0.006224057874137002
interpolation,Gaussian,3,0.15,900,4.5,3.529350221085854e-5
interpolation,Gaussian,3,0.15,2025,6.75,1.3935265981046393e-8
interpolation,Gaussian,3,0.15,4900,10.5,1.9848188303076114e-6
laplacian,IMQ,2,0.03,100,0.3,0.042524028471078196
laplacian,IMQ,2,0.03,225,0.44999999999999996,0.014031013893841544
laplacian,IMQ,2,0.03,400,0.6,0.006641486423885638
laplacian,IMQ,2,0.03,900,0.8999999999999999,0.002928248041829271
laplacian,IMQ,2,0.03,2025,1.3499999999999999,0.001578243378676863
laplacian,IMQ,2,0.03,4900,2.1,0.000870809148029971
laplacian,IMQ,3,0.03,100,0.3,0.006167472077910556
laplacian,IMQ,3,0.03,225,0.44999999999999996,0.0015202620020148907
laplacian,IMQ,3,0.03,400,0.6,0.0006690185521373755
laplacian,IMQ,3,0.03,900,0.8999999999999999,0.00015853748411602094
laplacian,IMQ,3,0.03,2025,1.3499999999999999,5.6434671910546165e-5
laplacian,IMQ,3,0.03,4900,2.1,1.6250270407189043e-5
laplacian,Gaussian,2,0.03,100,0.3,0.044067455942096614
laplacian,Gaussian,2,0.03,225,0.44999999999999996,0.015570360616282631
laplacian,Gaussian,2,0.03,400,0.6,0.006401530340106525
laplacian,Gaussian,2,0.03,900,0.8999999999999999,0.002469850000714888
laplacian,Gaussian,2,0.03,2025,1.3499999999999999,0.0010689997184783106
laplacian,Gaussian,2,0.03,4900,2.1,0.0004900424916966078
laplacian,Gaussian,3,0.03,100,0.3,0.015686041147913613
laplacian,Gaussian,3,0.03,225,0.44999999999999996,0.0016128490604651405
laplacian,Gaussian,3,0.03,400,0.6,0.000652027275244457
laplacian,Gaussian,3,0.03,900,0.8999999999999999,0.00038541097773739196
laplacian,Gaussian,3,0.03,2025,1.3499999999999999,3.90212027426559e-5
laplacian,Gaussian,3,0.03,4900,2.1,2.490486653456044e-5
mixed_partial,IMQ,2,0.03,100,0.3,22.520281958581922
mixed_partial,IMQ,2,0.03,225,0.44999999999999996,9.081520996145217
mixed_partial,IMQ,2,0.03,400,0.6,7.5402578415211625
mixed_partial,IMQ,2,0.03,900,0.8999999999999999,8.802123538305942
mixed_partial,IMQ,2,0.03,2025,1.3499999999999999,9.979039936554024
mixed_partial,IMQ,2,0.03,4900,2.1,10.674771887410866
mixed_partial,IMQ,3,0.03,100,0.3,0.015400561085866217
mixed_partial,IMQ,3,0.03,225,0.44999999999999996,0.003575020590664959
mixed_partial,IMQ,3,0.03,400,0.6,0.0022156044736168995
mixed_partial,IMQ,3,0.03,900,0.8999999999999999,0.0006019309089783936
mixed_partial,IMQ,3,0.03,2025,1.3499999999999999,0.00020256742870615607
mixed_partial,IMQ,3,0.03,4900,2.1,6.266242586018746e-5
mixed_partial,Gaussian,2,0.03,100,0.3,73.81152120957267
mixed_partial,Gaussian,2,0.03,225,0.44999999999999996,30.150373211929594
mixed_partial,Gaussian,2,0.03,400,0.6,15.811476131245588
mixed_partial,Gaussian,2,0.03,900,0.8999999999999999,8.023647015440709
mixed_partial,Gaussian,2,0.03,2025,1.3499999999999999,8.379979706049186
mixed_partial,Gaussian,2,0.03,4900,2.1,9.907879917985706
mixed_partial,Gaussian,3,0.03,100,0.3,0.044360545422436976
mixed_partial,Gaussian,3,0.03,225,0.44999999999999996,0.0057594919062388195
mixed_partial,Gaussian,3,0.03,400,0.6,0.002086941362257781
mixed_partial,Gaussian,3,0.03,900,0.8999999999999999,0.0013449274439642394
mixed_partial,Gaussian,3,0.03,2025,1.3499999999999999,0.0001549147842818335
mixed_partial,Gaussian,3,0.03,4900,2.1,0.00010618999784822172
